Tiktoker name,Subscribers,Views,Likes,Comments,Shares,Month
aragonclyrics,1400000.0,1300000.0,94400.0,96.0,7700.0,9
areyoukiddingtv,4800000.0,4099999.9999999995,648800.0,2500.0,316.0,6
arfaytb,372700.0,894100.0,108700.0,456.0,7600.0,9
arfaytb,372700.0,894100.0,108700.0,456.0,7600.0,6
argentinidadnovelera,91800.0,1800000.0,160500.0,953.0,10800.0,6
arigameplays,23200000.0,2800000.0,320700.0,1400.0,867.0,9
arigameplays,21500000.0,4900000.0,559000.0,2700.0,2300.0,6
armando_netto,4800000.0,2100000.0,226100.0,1900.0,225.0,9
armandogreiser,52400.0,621400.0,112500.0,1300.0,11400.0,9
artbydemarcusshawn,6100000.0,1800000.0,273800.0,2700.0,2800.0,6
artistliilz_,342600.0,1600000.0,240000.0,2900.0,973.0,9
ashhasacamera,871700.0,3400000.0,854700.0,4100.0,2000.0,9
ashmonterooo,8900.0,2600000.0,437200.0,6600.0,15400.0,6
aspenackley,2200000.0,1300000.0,192100.0,598.0,1900.0,9
atom221220,2800000.0,1300000.0,241800.0,1400.0,821.0,9
aubreyandersonemmons,1100000.0,1800000.0,320800.0,2000.0,1800.0,6
augustogimenez,13500000.0,4099999.9999999995,608800.0,1000.0,605.0,9
augustogimenez,12500000.0,4400000.0,562800.0,1200.0,538.0,6
aureliehermansyahatta,8700000.0,2100000.0,187400.0,989.0,779.0,9
aureliehermansyahatta,7400000.0,1900000.0,190100.0,1400.0,1300.0,6
aurikatariina,7400000.0,8900000.0,1000000.0,4000.0,3700.0,6
aussiesdoingthings,2700000.0,1200000.0,170000.0,602.0,3600.0,6
aussiesdoingthings,2700000.0,1200000.0,170000.0,602.0,3600.0,6
austenalexander,321400.0,1300000.0,125700.0,1100.0,5200.0,6
austinandlexi,4000000.0,1800000.0,332600.0,1100.0,1700.0,9
avanireyes,5100000.0,3500000.0,283600.0,1900.0,542.0,6
avascreams,705000.0,1200000.0,372600.0,2800.0,639.0,9
awildani13,77200.0,3700000.0,498400.0,5900.0,4400.0,9
awildani13,77200.0,3700000.0,498400.0,5900.0,4400.0,6
ayaatanjali_,5900000.0,1600000.0,303100.0,1200.0,780.0,6
ayanakamachi,1500000.0,3000000.0,204200.0,1100.0,1600.0,9
ayanakamachi,1400000.0,3200000.0,206500.0,1000.0,1800.0,6
aybukeyim,1200000.0,3100000.0,162700.0,2100.0,500.0,6
aydenmekus,11500000.0,2100000.0,204700.0,2900.0,491.0,9
aydenmekus,10500000.0,3600000.0,275400.0,8600.0,1300.0,6
ayesebastien,7200000.0,2000000.0,396500.0,2100.0,1800.0,9
ayesebastien,7200000.0,2000000.0,396500.0,2100.0,1800.0,6
aylin.criss,17300000.0,2600000.0,385700.0,2100.0,355.0,6
aymanehamedi,1100000.0,3400000.0,298500.0,2800.0,9800.0,9
ayutingting,7200000.0,2900000.0,239200.0,1500.0,2100.0,9
azzyland,4600000.0,5300000.0,774200.0,7000.0,462.0,9
b.blek,2600000.0,8000000.0,616700.0,6400.0,7400.0,9
badbunny,22200000.0,48900000.0,9000000.0,58400.0,96700.0,6
baimwong,8500000.0,2100000.0,130600.0,2000.0,1900.0,6
bankkamo46_,1300000.0,1500000.0,204700.0,1100.0,3000.0,9
bankkamo46_,1300000.0,1500000.0,204700.0,1100.0,3000.0,6
bankrolldyl,5000000.0,1100000.0,226900.0,1200.0,1200.0,9
bara_ze,2500000.0,1800000.0,118800.0,4300.0,2400.0,6
barbaracoura,9500000.0,1400000.0,295700.0,1000.0,922.0,9
barbaracoura,8800000.0,1500000.0,239700.0,1400.0,816.0,6
bargain.bethany,124800.0,2200000.0,208700.0,1800.0,28300.0,9
basementgang,5700000.0,1400000.0,296000.0,1500.0,2900.0,9
basementgang,5400000.0,2900000.0,256200.0,1900.0,2700.0,6
bavariamedic,489700.0,7100000.0,553600.0,1600.0,3400.0,6
bayashi.tiktok,33600000.0,4400000.0,492000.0,2600.0,786.0,9
bayashi.tiktok,28400000.0,6200000.0,713100.0,3600.0,2000.0,6
baylenlevine,4200000.0,1200000.0,190300.0,2900.0,903.0,6
bdylanhollis,8600000.0,3500000.0,792800.0,4100.0,10400.0,6
beamngshorts,2800000.0,2900000.0,158900.0,1000.0,630.0,9
