Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Month
tammyhembrow,1.7M,3.8M,429.5K,1.3K,1.3K,9
jackjos3ph,3.2M,2.1M,323.1K,2.5K,3.8K,9
paulo_victormelo2,2.2M,4.7M,447.9K,815,1.2K,9
phatnail,1.4M,3.3M,333.9K,3.2K,583,9
straykids_japan,8.1M,1M,344.9K,7.6K,3.9K,9
fwm.kalebb,1.6M,2M,306.4K,4.5K,2.3K,9
cookiepuentee,686.1K,1.4M,336.8K,1.8K,6.6K,9
andy.and.michelle,5M,2.6M,336.3K,1.4K,3.4K,9
elpelaromerook,1.5M,1.4M,161.5K,696,17.2K,9
leaelui,17.3M,3.9M,596.4K,654,1.1K,9
zeinabharake,14.4M,3.5M,492.1K,1.7K,673,9
augustogimenez,13.5M,4.1M,608.8K,1K,605,9
thefashioncouple,3.6M,3.1M,189K,6.6K,303,9
ria_d3miri,3.1M,2.3M,270.9K,4.9K,1.5K,9
brittikitty,13.5M,3.1M,433.3K,1.2K,1.7K,9
mieayamthebstt,16.2M,3.5M,275.5K,2.5K,1.5K,9
cryingben,1.6M,2M,442K,3.7K,764,9
keniaos,15.4M,2M,341.8K,4.1K,1.5K,9
okunonolife,839.7K,3M,318.2K,1K,2.9K,9
camxnie,3.5M,1.9M,323.6K,1K,5.3K,9
loewhaley,2.7M,2.5M,211.2K,1K,6.1K,9
vicblends,13.2M,2.7M,523.9K,1.8K,836,9
meganfitton6,8.7K,2M,315.3K,1.6K,4.4K,9
renpc_,4.8M,1.6M,339.3K,1.6K,5.3K,9
christophersturniolo,2.7M,1.6M,361.2K,5K,1.3K,9
snoopdogg,23.4M,3.7M,168.1K,2.7K,3.3K,9
mdmotivator,10.7M,3M,424.9K,1.8K,1K,9
naimdarrechi,28.1M,2.3M,228.4K,1.1K,6K,9
iamsungstarwin,2.2M,4.7M,651.9K,653,532,9
kopke613,4M,1.6M,222.1K,3.3K,6.9K,9
esen_alva,4.4M,1.6M,328.2K,1.1K,5.8K,9
grillervm,3.1M,2.5M,371.2K,1.3K,2.6K,9
jerellware,95.8K,2.2M,433.9K,1.5K,2.3K,9
jimmydarts,8.9M,2.6M,506K,2.1K,643,9
vienvibi_899,7.5M,4M,375.8K,2K,394,9
noguidnce,2.2M,2.2M,430.6K,2.1K,1.8K,9
lachama4_ff,9.6M,2.7M,363K,3.4K,318,9
sonrixs_,13.7M,4M,534.4K,1K,642,9
vincentgiganteee,2.3M,2.1M,300.9K,1.6K,3.9K,9
jerofreixas,1.4M,1.9M,184.9K,1.4K,8.7K,9
madamsoniia,3.6M,6.4M,474.6K,635,509,9
cznburak,63.6M,4.6M,228.4K,2.3K,978,9
la.maraaa,7.3M,2.9M,376.9K,2.2K,904,9
louvoresgospelbr,1.3M,1.9M,221.3K,1.1K,6.9K,9
rucenuenda1,2.1M,3.3M,490.6K,1.5K,554,9
nourmar5,14.6M,1.8M,136.9K,4.8K,8.8K,9
bebopandbebe,750.4K,3.3M,127.2K,7.6K,354,9
daniimolalaa,499.9K,2.4M,586.5K,998,1.3K,9
jaimeonod,1.8M,2M,296.1K,3.8K,1.8K,9
starirawan,550.3K,1.8M,177.3K,8.6K,1.8K,9
patriotickenny,2.3M,2.1M,292.9K,2K,3.3K,9
xxlechuga,5.3M,2.2M,476.1K,1.2K,1.9K,9
manhtienkhoi_,4.6M,3M,276.4K,2.6K,1.3K,9
itsjojosiwa,43.5M,4.2M,422K,1.4K,399,9
